id,name_en,name_ar,created_at,updated_at
1,Alsun,كلية الألسن,2022-01-22 10:00:00,2022-01-22 10:00:00
2,Bahasa Arab,كلية اللغة العربية,2022-01-22 10:00:00,2022-01-22 10:00:00
3,Dakwah Islam,كلية الدعوة إسلامية,2022-01-22 10:00:00,2022-01-22 10:00:00
4,Studi Islam dan Bahasa Arab,كلية الدراسات الإسلامية والعربية,2022-01-22 10:00:00,2022-01-22 10:00:00
5,Ekonomi & Ilmu Politik,كلية الاقتصاد,2022-01-22 10:00:00,2022-01-22 10:00:00
6,Humaniora,كلية الإنسانية,2022-01-22 10:00:00,2022-01-22 10:00:00
7,Kedokteran,كلية الطب,2022-01-22 10:00:00,2022-01-22 10:00:00
9,Sastra dan Humaniora,كلية الأدب,2022-01-22 10:00:00,2022-01-22 10:00:00
12,Studi Hukum,كلية الحقوق,2022-01-22 10:00:00,2022-01-22 10:00:00
13,Syariah dan Hukum,كلية الشريعة والقانون,2022-01-22 10:00:00,2022-01-22 10:00:00
15,Pendidikan,كلية التربية,2022-01-22 10:00:00,2022-01-22 10:00:00
16,Ushuluddin,كلية أصول الدين,2022-01-22 10:00:00,2022-01-22 10:00:00
17,Darul Ulum,كلية دار العلوم,2022-01-22 10:00:00,2022-01-22 10:00:00
18,Ilmu-Ilmu Islam,كلية العلوم الإسلامية,2022-01-22 10:00:00,2022-01-22 10:00:00
19,Perdagangan,كلية التجارة,2022-01-22 10:00:00,2022-01-22 10:00:00
20,Pariwisata dan Perhotelan,كلية السياحة والفنادق,2022-01-22 10:00:00,2022-01-22 10:00:00
22,Psikologi Islam,,2022-01-22 10:00:00,2022-01-22 10:00:00
23,Filologi,تحقيق التراث,2022-01-22 10:00:00,2022-01-22 10:00:00
25,SD,,2022-01-22 10:00:00,2022-01-22 10:00:00
26,SLTP,,2022-01-22 10:00:00,2022-01-22 10:00:00
27,SLTA,,2022-01-22 10:00:00,2022-01-22 10:00:00
28,Sains,,2022-01-22 10:00:00,2022-01-22 10:00:00
29,TK,,2022-01-22 10:00:00,2022-01-22 10:00:00
30,Alquran,,2022-01-22 10:00:00,2022-01-22 10:00:00
31,Ilmu Komputer,,2022-01-22 10:00:00,2022-01-22 10:00:00
33,Teknik,,2022-01-22 10:00:00,2022-01-22 10:00:00
34,Perminyakan,,2022-01-22 10:00:00,2022-01-22 10:00:00
36,Umum,,2022-01-22 10:00:00,2022-01-22 10:00:00
37,Bahasa Inggris,,2022-01-22 10:00:00,2022-01-22 10:00:00
